Detailed,,,,,,,,,
 ==================== ,,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Surpass Object,Time,ID
Distance to Image Border XY,68.465,um,Surface,,,Image 1,Surface contact Area - cd68,1,0
Distance to Image Border XY,63.1561,um,Surface,,,Image 1,Surface contact Area - cd68,1,1
Distance to Image Border XY,59.175,um,Surface,,,Image 1,Surface contact Area - cd68,1,2
Distance to Image Border XY,61.332,um,Surface,,,Image 1,Surface contact Area - cd68,1,3
Distance to Image Border XY,61.1651,um,Surface,,,Image 1,Surface contact Area - cd68,1,4
Distance to Image Border XY,62.325,um,Surface,,,Image 1,Surface contact Area - cd68,1,5
Distance to Image Border XY,63.225,um,Surface,,,Image 1,Surface contact Area - cd68,1,6
Distance to Image Border XY,60.075,um,Surface,,,Image 1,Surface contact Area - cd68,1,7
Distance to Image Border XY,60.825,um,Surface,,,Image 1,Surface contact Area - cd68,1,8
Distance to Image Border XY,60.6818,um,Surface,,,Image 1,Surface contact Area - cd68,1,9
Distance to Image Border XY,62.075,um,Surface,,,Image 1,Surface contact Area - cd68,1,10
Distance to Image Border XY,57.7658,um,Surface,,,Image 1,Surface contact Area - cd68,1,11
Distance to Image Border XY,61.4974,um,Surface,,,Image 1,Surface contact Area - cd68,1,12
Distance to Image Border XY,59.6583,um,Surface,,,Image 1,Surface contact Area - cd68,1,13
Distance to Image Border XY,59.875,um,Surface,,,Image 1,Surface contact Area - cd68,1,14
Distance to Image Border XY,58.275,um,Surface,,,Image 1,Surface contact Area - cd68,1,15
Distance to Image Border XY,68.6591,um,Surface,,,Image 1,Surface contact Area - cd68,1,16
Distance to Image Border XY,42.4126,um,Surface,,,Image 1,Surface contact Area - cd68,1,17
Distance to Image Border XY,61.5142,um,Surface,,,Image 1,Surface contact Area - cd68,1,18
Distance to Image Border XY,68.075,um,Surface,,,Image 1,Surface contact Area - cd68,1,19
Distance to Image Border XY,48.125,um,Surface,,,Image 1,Surface contact Area - cd68,1,20
Distance to Image Border XY,48.7319,um,Surface,,,Image 1,Surface contact Area - cd68,1,21
Distance to Image Border XY,56.9778,um,Surface,,,Image 1,Surface contact Area - cd68,1,22
Distance to Image Border XY,60.6741,um,Surface,,,Image 1,Surface contact Area - cd68,1,23
Distance to Image Border XY,63.2832,um,Surface,,,Image 1,Surface contact Area - cd68,1,24
Distance to Image Border XY,63.2978,um,Surface,,,Image 1,Surface contact Area - cd68,1,25
Distance to Image Border XY,63.0687,um,Surface,,,Image 1,Surface contact Area - cd68,1,26
Distance to Image Border XY,61.8657,um,Surface,,,Image 1,Surface contact Area - cd68,1,27
Distance to Image Border XY,61.7381,um,Surface,,,Image 1,Surface contact Area - cd68,1,28
Distance to Image Border XY,63.175,um,Surface,,,Image 1,Surface contact Area - cd68,1,29
Distance to Image Border XY,62.72,um,Surface,,,Image 1,Surface contact Area - cd68,1,30
Distance to Image Border XY,60.3485,um,Surface,,,Image 1,Surface contact Area - cd68,1,31
Distance to Image Border XY,60.6527,um,Surface,,,Image 1,Surface contact Area - cd68,1,32
Distance to Image Border XY,63.3134,um,Surface,,,Image 1,Surface contact Area - cd68,1,33
Distance to Image Border XY,59.3126,um,Surface,,,Image 1,Surface contact Area - cd68,1,34
Distance to Image Border XY,51.3311,um,Surface,,,Image 1,Surface contact Area - cd68,1,35
Distance to Image Border XY,67.6939,um,Surface,,,Image 1,Surface contact Area - cd68,1,36
Distance to Image Border XY,38.8295,um,Surface,,,Image 1,Surface contact Area - cd68,1,37
Distance to Image Border XY,48.157,um,Surface,,,Image 1,Surface contact Area - cd68,1,38
Distance to Image Border XY,62.1019,um,Surface,,,Image 1,Surface contact Area - cd68,1,39
Distance to Image Border XY,63.3659,um,Surface,,,Image 1,Surface contact Area - cd68,1,40
Distance to Image Border XY,58.3669,um,Surface,,,Image 1,Surface contact Area - cd68,1,41
Distance to Image Border XY,62.2638,um,Surface,,,Image 1,Surface contact Area - cd68,1,42
Distance to Image Border XY,57.8174,um,Surface,,,Image 1,Surface contact Area - cd68,1,43
Distance to Image Border XY,68.1061,um,Surface,,,Image 1,Surface contact Area - cd68,1,44
Distance to Image Border XY,64.604,um,Surface,,,Image 1,Surface contact Area - cd68,1,45
Distance to Image Border XY,62.125,um,Surface,,,Image 1,Surface contact Area - cd68,1,46
Distance to Image Border XY,62.0159,um,Surface,,,Image 1,Surface contact Area - cd68,1,47
Distance to Image Border XY,59.135,um,Surface,,,Image 1,Surface contact Area - cd68,1,48
Distance to Image Border XY,61.2169,um,Surface,,,Image 1,Surface contact Area - cd68,1,49
Distance to Image Border XY,56.5127,um,Surface,,,Image 1,Surface contact Area - cd68,1,50
Distance to Image Border XY,55.6125,um,Surface,,,Image 1,Surface contact Area - cd68,1,51
Distance to Image Border XY,52.3077,um,Surface,,,Image 1,Surface contact Area - cd68,1,52
Distance to Image Border XY,62.0221,um,Surface,,,Image 1,Surface contact Area - cd68,1,53
Distance to Image Border XY,61.8165,um,Surface,,,Image 1,Surface contact Area - cd68,1,54
Ellipticity (oblate),0.49085,,Surface,,,,Surface contact Area - cd68,1,0
Ellipticity (oblate),0.542952,,Surface,,,,Surface contact Area - cd68,1,1
Ellipticity (oblate),0.527886,,Surface,,,,Surface contact Area - cd68,1,2
Ellipticity (oblate),0.353799,,Surface,,,,Surface contact Area - cd68,1,3
Ellipticity (oblate),0.389849,,Surface,,,,Surface contact Area - cd68,1,4
Ellipticity (oblate),0.822746,,Surface,,,,Surface contact Area - cd68,1,5
Ellipticity (oblate),0.478905,,Surface,,,,Surface contact Area - cd68,1,6
Ellipticity (oblate),0.129465,,Surface,,,,Surface contact Area - cd68,1,7
Ellipticity (oblate),0.00114308,,Surface,,,,Surface contact Area - cd68,1,8
Ellipticity (oblate),0.668406,,Surface,,,,Surface contact Area - cd68,1,9
Ellipticity (oblate),0.222268,,Surface,,,,Surface contact Area - cd68,1,10
Ellipticity (oblate),0.513735,,Surface,,,,Surface contact Area - cd68,1,11
Ellipticity (oblate),0.427453,,Surface,,,,Surface contact Area - cd68,1,12
Ellipticity (oblate),0.46867,,Surface,,,,Surface contact Area - cd68,1,13
Ellipticity (oblate),0.527897,,Surface,,,,Surface contact Area - cd68,1,14
Ellipticity (oblate),0.182663,,Surface,,,,Surface contact Area - cd68,1,15
Ellipticity (oblate),0.507273,,Surface,,,,Surface contact Area - cd68,1,16
Ellipticity (oblate),0.561603,,Surface,,,,Surface contact Area - cd68,1,17
Ellipticity (oblate),0.427022,,Surface,,,,Surface contact Area - cd68,1,18
Ellipticity (oblate),0.527988,,Surface,,,,Surface contact Area - cd68,1,19
Ellipticity (oblate),0.132938,,Surface,,,,Surface contact Area - cd68,1,20
Ellipticity (oblate),0.479859,,Surface,,,,Surface contact Area - cd68,1,21
Ellipticity (oblate),0.249061,,Surface,,,,Surface contact Area - cd68,1,22
Ellipticity (oblate),0.231046,,Surface,,,,Surface contact Area - cd68,1,23
Ellipticity (oblate),0.64794,,Surface,,,,Surface contact Area - cd68,1,24
Ellipticity (oblate),0.697034,,Surface,,,,Surface contact Area - cd68,1,25
Ellipticity (oblate),0.717154,,Surface,,,,Surface contact Area - cd68,1,26
Ellipticity (oblate),0.780269,,Surface,,,,Surface contact Area - cd68,1,27
Ellipticity (oblate),0.418922,,Surface,,,,Surface contact Area - cd68,1,28
Ellipticity (oblate),0.182626,,Surface,,,,Surface contact Area - cd68,1,29
Ellipticity (oblate),0.621214,,Surface,,,,Surface contact Area - cd68,1,30
Ellipticity (oblate),0.360657,,Surface,,,,Surface contact Area - cd68,1,31
Ellipticity (oblate),0.591112,,Surface,,,,Surface contact Area - cd68,1,32
Ellipticity (oblate),0.639214,,Surface,,,,Surface contact Area - cd68,1,33
Ellipticity (oblate),0.182005,,Surface,,,,Surface contact Area - cd68,1,34
Ellipticity (oblate),0.63269,,Surface,,,,Surface contact Area - cd68,1,35
Ellipticity (oblate),0.166939,,Surface,,,,Surface contact Area - cd68,1,36
Ellipticity (oblate),0.792646,,Surface,,,,Surface contact Area - cd68,1,37
Ellipticity (oblate),0.569635,,Surface,,,,Surface contact Area - cd68,1,38
Ellipticity (oblate),0.6386,,Surface,,,,Surface contact Area - cd68,1,39
Ellipticity (oblate),0.43724,,Surface,,,,Surface contact Area - cd68,1,40
Ellipticity (oblate),0.506378,,Surface,,,,Surface contact Area - cd68,1,41
Ellipticity (oblate),0.298097,,Surface,,,,Surface contact Area - cd68,1,42
Ellipticity (oblate),0.371691,,Surface,,,,Surface contact Area - cd68,1,43
Ellipticity (oblate),0.796545,,Surface,,,,Surface contact Area - cd68,1,44
Ellipticity (oblate),0.481641,,Surface,,,,Surface contact Area - cd68,1,45
Ellipticity (oblate),0.290949,,Surface,,,,Surface contact Area - cd68,1,46
Ellipticity (oblate),0.374724,,Surface,,,,Surface contact Area - cd68,1,47
Ellipticity (oblate),0.490842,,Surface,,,,Surface contact Area - cd68,1,48
Ellipticity (oblate),0.340702,,Surface,,,,Surface contact Area - cd68,1,49
Ellipticity (oblate),0.65814,,Surface,,,,Surface contact Area - cd68,1,50
Ellipticity (oblate),0.638464,,Surface,,,,Surface contact Area - cd68,1,51
Ellipticity (oblate),0.443456,,Surface,,,,Surface contact Area - cd68,1,52
Ellipticity (oblate),0.0882199,,Surface,,,,Surface contact Area - cd68,1,53
Ellipticity (oblate),0.5161,,Surface,,,,Surface contact Area - cd68,1,54
Ellipticity (prolate),0.290272,,Surface,,,,Surface contact Area - cd68,1,0
Ellipticity (prolate),0.306646,,Surface,,,,Surface contact Area - cd68,1,1
Ellipticity (prolate),0.247732,,Surface,,,,Surface contact Area - cd68,1,2
Ellipticity (prolate),0.439276,,Surface,,,,Surface contact Area - cd68,1,3
Ellipticity (prolate),0.474712,,Surface,,,,Surface contact Area - cd68,1,4
Ellipticity (prolate),0.080277,,Surface,,,,Surface contact Area - cd68,1,5
Ellipticity (prolate),0.0784325,,Surface,,,,Surface contact Area - cd68,1,6
Ellipticity (prolate),0.323804,,Surface,,,,Surface contact Area - cd68,1,7
Ellipticity (prolate),0.00137146,,Surface,,,,Surface contact Area - cd68,1,8
Ellipticity (prolate),0.132384,,Surface,,,,Surface contact Area - cd68,1,9
Ellipticity (prolate),0.799897,,Surface,,,,Surface contact Area - cd68,1,10
Ellipticity (prolate),0.333671,,Surface,,,,Surface contact Area - cd68,1,11
Ellipticity (prolate),0.226781,,Surface,,,,Surface contact Area - cd68,1,12
Ellipticity (prolate),0.102345,,Surface,,,,Surface contact Area - cd68,1,13
Ellipticity (prolate),0.247729,,Surface,,,,Surface contact Area - cd68,1,14
Ellipticity (prolate),0.312084,,Surface,,,,Surface contact Area - cd68,1,15
Ellipticity (prolate),0.268838,,Surface,,,,Surface contact Area - cd68,1,16
Ellipticity (prolate),0.252408,,Surface,,,,Surface contact Area - cd68,1,17
Ellipticity (prolate),0.323438,,Surface,,,,Surface contact Area - cd68,1,18
Ellipticity (prolate),0.24765,,Surface,,,,Surface contact Area - cd68,1,19
Ellipticity (prolate),0.914129,,Surface,,,,Surface contact Area - cd68,1,20
Ellipticity (prolate),0.198624,,Surface,,,,Surface contact Area - cd68,1,21
Ellipticity (prolate),0.61358,,Surface,,,,Surface contact Area - cd68,1,22
Ellipticity (prolate),0.402392,,Surface,,,,Surface contact Area - cd68,1,23
Ellipticity (prolate),0.213283,,Surface,,,,Surface contact Area - cd68,1,24
Ellipticity (prolate),0.181433,,Surface,,,,Surface contact Area - cd68,1,25
Ellipticity (prolate),0.133584,,Surface,,,,Surface contact Area - cd68,1,26
Ellipticity (prolate),0.131777,,Surface,,,,Surface contact Area - cd68,1,27
Ellipticity (prolate),0.389021,,Surface,,,,Surface contact Area - cd68,1,28
Ellipticity (prolate),0.312482,,Surface,,,,Surface contact Area - cd68,1,29
Ellipticity (prolate),0.243818,,Surface,,,,Surface contact Area - cd68,1,30
Ellipticity (prolate),0.36405,,Surface,,,,Surface contact Area - cd68,1,31
Ellipticity (prolate),0.269558,,Surface,,,,Surface contact Area - cd68,1,32
Ellipticity (prolate),0.149014,,Surface,,,,Surface contact Area - cd68,1,33
Ellipticity (prolate),0.467074,,Surface,,,,Surface contact Area - cd68,1,34
Ellipticity (prolate),0.23169,,Surface,,,,Surface contact Area - cd68,1,35
Ellipticity (prolate),0.657013,,Surface,,,,Surface contact Area - cd68,1,36
Ellipticity (prolate),0.136828,,Surface,,,,Surface contact Area - cd68,1,37
Ellipticity (prolate),0.2833,,Surface,,,,Surface contact Area - cd68,1,38
Ellipticity (prolate),0.172269,,Surface,,,,Surface contact Area - cd68,1,39
Ellipticity (prolate),0.359764,,Surface,,,,Surface contact Area - cd68,1,40
Ellipticity (prolate),0.336231,,Surface,,,,Surface contact Area - cd68,1,41
Ellipticity (prolate),0.638941,,Surface,,,,Surface contact Area - cd68,1,42
Ellipticity (prolate),0.518423,,Surface,,,,Surface contact Area - cd68,1,43
Ellipticity (prolate),0.137049,,Surface,,,,Surface contact Area - cd68,1,44
Ellipticity (prolate),0.25599,,Surface,,,,Surface contact Area - cd68,1,45
Ellipticity (prolate),0.153322,,Surface,,,,Surface contact Area - cd68,1,46
Ellipticity (prolate),0.35406,,Surface,,,,Surface contact Area - cd68,1,47
Ellipticity (prolate),0.29033,,Surface,,,,Surface contact Area - cd68,1,48
Ellipticity (prolate),0.524917,,Surface,,,,Surface contact Area - cd68,1,49
Ellipticity (prolate),0.21845,,Surface,,,,Surface contact Area - cd68,1,50
Ellipticity (prolate),0.227118,,Surface,,,,Surface contact Area - cd68,1,51
Ellipticity (prolate),0.349126,,Surface,,,,Surface contact Area - cd68,1,52
Ellipticity (prolate),0.317828,,Surface,,,,Surface contact Area - cd68,1,53
Ellipticity (prolate),0.339941,,Surface,,,,Surface contact Area - cd68,1,54
Generation,0,,Surface,,,,Surface contact Area - cd68,1,0
Generation,0,,Surface,,,,Surface contact Area - cd68,1,1
Generation,0,,Surface,,,,Surface contact Area - cd68,1,2
Generation,0,,Surface,,,,Surface contact Area - cd68,1,3
Generation,0,,Surface,,,,Surface contact Area - cd68,1,4
Generation,0,,Surface,,,,Surface contact Area - cd68,1,5
Generation,0,,Surface,,,,Surface contact Area - cd68,1,6
Generation,0,,Surface,,,,Surface contact Area - cd68,1,7
Generation,0,,Surface,,,,Surface contact Area - cd68,1,8
Generation,0,,Surface,,,,Surface contact Area - cd68,1,9
Generation,0,,Surface,,,,Surface contact Area - cd68,1,10
Generation,0,,Surface,,,,Surface contact Area - cd68,1,11
Generation,0,,Surface,,,,Surface contact Area - cd68,1,12
Generation,0,,Surface,,,,Surface contact Area - cd68,1,13
Generation,0,,Surface,,,,Surface contact Area - cd68,1,14
Generation,0,,Surface,,,,Surface contact Area - cd68,1,15
Generation,0,,Surface,,,,Surface contact Area - cd68,1,16
Generation,0,,Surface,,,,Surface contact Area - cd68,1,17
