
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Image,Time,ID,
Distance to Image Border XY,10.8333,um,Surface,,Image 1,1,138,
Distance to Image Border XY,9.35882,um,Surface,,Image 1,1,139,
Distance to Image Border XY,23.33,um,Surface,,Image 1,1,143,
Distance to Image Border XY,21.0625,um,Surface,,Image 1,1,145,
Distance to Image Border XY,23.1308,um,Surface,,Image 1,1,146,
Distance to Image Border XY,22.7284,um,Surface,,Image 1,1,147,
Distance to Image Border XY,25.06,um,Surface,,Image 1,1,148,
Distance to Image Border XY,23.627,um,Surface,,Image 1,1,149,
Distance to Image Border XY,24.3083,um,Surface,,Image 1,1,150,
Distance to Image Border XY,23.3533,um,Surface,,Image 1,1,152,
Distance to Image Border XY,20.9423,um,Surface,,Image 1,1,153,
Distance to Image Border XY,24.3094,um,Surface,,Image 1,1,154,
Distance to Image Border XY,22.9604,um,Surface,,Image 1,1,155,
Distance to Image Border XY,22.2674,um,Surface,,Image 1,1,156,
Distance to Image Border XY,20.1776,um,Surface,,Image 1,1,158,
Distance to Image Border XY,15.4769,um,Surface,,Image 1,1,159,
Distance to Image Border XY,21.959,um,Surface,,Image 1,1,161,
Distance to Image Border XY,19.0394,um,Surface,,Image 1,1,162,
Distance to Image Border XY,9.9,um,Surface,,Image 1,1,163,
Distance to Image Border XY,4.9,um,Surface,,Image 1,1,164,
Distance to Image Border XY,11.1667,um,Surface,,Image 1,1,166,
Distance to Image Border XY,12.3448,um,Surface,,Image 1,1,167,
Distance to Image Border XY,20.0895,um,Surface,,Image 1,1,169,
Distance to Image Border XY,14.9468,um,Surface,,Image 1,1,171,
Distance to Image Border XY,21.7224,um,Surface,,Image 1,1,173,
Distance to Image Border XY,20.7631,um,Surface,,Image 1,1,174,
Distance to Image Border XY,23.4809,um,Surface,,Image 1,1,176,
Distance to Image Border XY,18.7667,um,Surface,,Image 1,1,177,
Distance to Image Border XY,20.0429,um,Surface,,Image 1,1,178,
Distance to Image Border XY,19.3638,um,Surface,,Image 1,1,179,
Distance to Image Border XY,19.2745,um,Surface,,Image 1,1,180,
Distance to Image Border XY,20.1,um,Surface,,Image 1,1,181,
Distance to Image Border XY,15.5429,um,Surface,,Image 1,1,182,
Distance to Image Border XY,18.0945,um,Surface,,Image 1,1,183,
Distance to Image Border XY,18.1268,um,Surface,,Image 1,1,184,
Distance to Image Border XY,15.0333,um,Surface,,Image 1,1,185,
Distance to Image Border XY,19.5011,um,Surface,,Image 1,1,186,
Distance to Image Border XY,21.7809,um,Surface,,Image 1,1,188,
Distance to Image Border XY,19.3119,um,Surface,,Image 1,1,189,
Distance to Image Border XY,16.2725,um,Surface,,Image 1,1,190,
Distance to Image Border XY,14.1025,um,Surface,,Image 1,1,191,
Distance to Image Border XY,18.1497,um,Surface,,Image 1,1,192,
Distance to Image Border XY,6.57859,um,Surface,,Image 1,1,193,
Distance to Image Border XY,11.9035,um,Surface,,Image 1,1,194,
Distance to Image Border XY,14.3563,um,Surface,,Image 1,1,195,
Distance to Image Border XY,14.8918,um,Surface,,Image 1,1,196,
Distance to Image Border XY,8.98028,um,Surface,,Image 1,1,197,
Distance to Image Border XY,10.7952,um,Surface,,Image 1,1,198,
Distance to Image Border XY,18.2462,um,Surface,,Image 1,1,200,
Distance to Image Border XY,21.864,um,Surface,,Image 1,1,202,
Distance to Image Border XY,14.9611,um,Surface,,Image 1,1,203,
Distance to Image Border XY,21.8091,um,Surface,,Image 1,1,205,
Distance to Image Border XY,23.0303,um,Surface,,Image 1,1,206,
Distance to Image Border XY,14.5964,um,Surface,,Image 1,1,208,
Distance to Image Border XY,21.0564,um,Surface,,Image 1,1,209,
Distance to Image Border XY,21.3462,um,Surface,,Image 1,1,210,
Distance to Image Border XY,13.8919,um,Surface,,Image 1,1,211,
Distance to Image Border XY,15.8273,um,Surface,,Image 1,1,212,
Distance to Image Border XY,19.1292,um,Surface,,Image 1,1,213,
Distance to Image Border XY,17.9236,um,Surface,,Image 1,1,214,
Distance to Image Border XY,21.6018,um,Surface,,Image 1,1,215,
Distance to Image Border XY,21.5842,um,Surface,,Image 1,1,216,
Distance to Image Border XY,15.2979,um,Surface,,Image 1,1,217,
Distance to Image Border XY,13.9213,um,Surface,,Image 1,1,218,
Distance to Image Border XY,14.06,um,Surface,,Image 1,1,219,
