
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Image,Time,ID,
Time Index,1,,Surface,,,1,318,
Time Index,1,,Surface,,,1,319,
Time Index,1,,Surface,,,1,320,
Time Index,1,,Surface,,,1,322,
Time Index,1,,Surface,,,1,324,
Time Index,1,,Surface,,,1,325,
Time Index,1,,Surface,,,1,326,
Time Index,1,,Surface,,,1,328,
Time Index,1,,Surface,,,1,329,
Time Index,1,,Surface,,,1,330,
Time Index,1,,Surface,,,1,331,
Time Index,1,,Surface,,,1,332,
Time Index,1,,Surface,,,1,333,
Time Index,1,,Surface,,,1,334,
Volume,28.8121,um^3,Surface,,,1,297,
Volume,59.5963,um^3,Surface,,,1,298,
Volume,14.0323,um^3,Surface,,,1,299,
Volume,5.02387,um^3,Surface,,,1,300,
Volume,31.8115,um^3,Surface,,,1,303,
Volume,20.3943,um^3,Surface,,,1,308,
Volume,5.83851,um^3,Surface,,,1,314,
Volume,31.0933,um^3,Surface,,,1,318,
Volume,6.06207,um^3,Surface,,,1,319,
Volume,26.4347,um^3,Surface,,,1,320,
Volume,8.01613,um^3,Surface,,,1,322,
Volume,2.62571,um^3,Surface,,,1,324,
Volume,7.47984,um^3,Surface,,,1,325,
Volume,14.3369,um^3,Surface,,,1,326,
Volume,2.23211,um^3,Surface,,,1,328,
Volume,44.2515,um^3,Surface,,,1,329,
Volume,4.29597,um^3,Surface,,,1,330,
Volume,23.0246,um^3,Surface,,,1,331,
Volume,6.19172,um^3,Surface,,,1,332,
Volume,5.78437,um^3,Surface,,,1,333,
Volume,1161.17,um^3,Surface,,,1,334,
